Stichwort,Datum
Bebauungsplan: Möglichkeiten der Abänderung durch das Parlament,22.4.1965
Fahrerlaubnis (Wiedererteilung),22.5.1969
Verwaltungsabkommen,10.7.1969
Rundfunk- und Fernsehrecht: gesetzliche Hindernisse der Errichtung privater Sender in Berlin,13.10.1969
"Sonderurlaub für ehrenamtlich tätige, nicht im öffentlichen Dienst beschäftigte Leiter in der Jugendpflege und im Sport)",22.10.1969
Elektronische Datenverarbeitung (Zusammenfassung zur Literatur über -),4.12.1969
"Eigentumsverhältnisse (Wald), Waldschutzgesetz, Landesforststrafrecht",16.12.1969
Entwurf eines Gesetzes über die Rechtsstellung der Opposition (und Fraktionen),2.1.1970
"Verfassung von Berlin vom 23. November 1995, Zuständigkeit Verfassungsgericht",9.1.1970
Haushaltsplan,21.1.1970
Lehrer: Steuerfreiheit für zusätzliche Vertretungsstunden,4.3.1970
"Hochschullehrergesetz, Universitätsgesetz, Forschungsfinanzierung, TU Berlin",5.3.1970
Anwesenheitsrecht des Rechnungshofs bei Ausschusssitzungen,13.3.1970
Ausschusssitzung: Beteiligung Rechnungshof,13.5.1970
Nebentätigkeit von Bediensteten (Hochschulbereich),18.6.1970
Rundfunk- und Fernsehrecht: Einräumung von Sendezeiten für Fraktionen,18.6.1970
Ausführungsgesetz zum Jugendwohlfahrtsgesetz,19.6.1970
Mittelfristige Finanzplanung: Beteiligung des Abgeordnetenhauses,30.6.1970
Vorlage über Gesetz zur Änderung des Bundesbaugesetz,16.4.1971
Stärkeverhältnis der Fraktionen (Bezirksamt),7.6.1971
Umweltschutz: Literatur und Institutionen,7.7.1971
"Berliner Lehrervertretung, Wahl von Schulleitern",9.8.1971
Hochschulrecht: Wahlpflicht der Studenten zu Universitätsgremien,7.9.1971
"Anwesenheitsrecht bei Ausschusssitzungen, Fraktionsgeschäftsführer",15.9.1971
Juristische Ausbildung,14.10.1971
Gewaltenteilungsgrundsatz: Beteiligung des Parlaments an der Planung,28.12.1971
Staatsvertrag verfassungsrechtliche Probleme,28.12.1971
Freiwillige Polizeireserve,18.1.1972
Juristische Ausbildung: Modellvergleich,10.3.1972
"Ausbildungs- und Prüfungsordnung für Juristen, Reformentwurf",23.3.1972
Ehrenordnung,10.4.1972
Haushaltsplan: Aussetzung oder Aufhebung von Wegfallvermerken,26.4.1972
Kostendeckung,26.4.1972
Repräsentationsmittel des Präsidenten,26.4.1972
Petitionen (Begriff und Behandlung),25.5.1972
Fraktionsangestellte (dienst- und personalrechtlicher Status),1.6.1972
"Schulunterricht (Entscheidungsrechte von Schülern und Erziehungsberechtigten), alternative Unterrichtsangebote",6.7.1972
